Leaked composite object at 0x10a00cfe0 (tests/leak_test.c:12, sz=4, NORMAL)

Leaked composite object at 0x10a00cfe0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x10a00dee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x10a00df20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x10a00df60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x10a00dfa0 (tests/leak_test.c:19, sz=12, NORMAL)

Leaked composite object at 0x10a00cf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x10a00cf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x10a00cf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x10a00cfb0 (tests/leak_test.c:19, sz=7, NORMAL)

