Leaked composite object at 0x10a5a7fe0 (tests/leak_test.c:12, sz=4, NORMAL)

Leaked composite object at 0x10a5a7fe0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x10a5a8ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x10a5a8f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x10a5a8f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x10a5a8fa0 (tests/leak_test.c:19, sz=12, NORMAL)

Leaked composite object at 0x10a5a7f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x10a5a7f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x10a5a7f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x10a5a7fb0 (tests/leak_test.c:19, sz=7, NORMAL)

